category,name,priceRub,packDisplay,mainPhotoId,mainPhotoFile,status,hasFlavorChoice,flavors,flavorPhotoFallbacks,issues
Газированные,"кинза 0,36л ж/б",1480,24 ?? ? ??,gaz-2,Gaz-2.jpg,active,??,Цитрус; Кола; Апельсин; Кола-Зеро; Лимон-Зеро; Гранат,Цитрус; Кола; Апельсин; Кола-Зеро; Лимон-Зеро; Гранат,
Газированные,"кока-кола 0,25л афган ж/б",1150,24 ?? ? ??,gaz-3,gaz-3.jpg,active,???,,,
Газированные,"кока-кола Добрый 0,33л ж/б",1170,24 ?? ? ??,gaz-4,gaz-4.jpg,active,???,,,
Газированные,"кола Иран 0,33л ж/б",1200,24 ?? ? ??,gaz-5,gaz-5.jpg,active,???,,,
Газированные,"кола 0,33л стекло",1180,15 ?? ? ??,gaz-6,gaz-6.jpg,active,???,,,
Газированные,Кола Кубаночка 0.5 стекло,480,6 ?? ? ??,gaz-100,gaz-100.jpg,active,???,,,
Газированные,кола добрый 1л пэт,900,12 ?? ? ??,gaz-7,gaz-7.jpg,active,???,,,
Газированные,"миринда 0,33л иран ж/б",1200,24 ?? ? ??,gaz-8,gaz-8.jpg,active,???,,,
Газированные,"пепси 0,33л иран ж/б",1200,24 ?? ? ??,gaz-9,gaz-9.jpg,active,???,,,
Газированные,"пепси 0,25л афган ж/б",1150,24 ?? ? ??,gaz-10,gaz-10.jpg,active,???,,,
Газированные,"пепси классическая 1,25л пэт",980,12 ?? ? ??,gaz-11,gaz-11.jpg,active,???,,,
Газированные,"пепси 2,25л пэт",890,6 ?? ? ??,gaz-12,gaz-12.jpg,active,???,,,
Газированные,спрайт лимонная 1л пэт,1080,12 ?? ? ??,gaz-13,gaz-13.jpg,active,???,,,
Газированные,спрайт 2л пэт,890,6 ?? ? ??,gaz-14,gaz-14.jpg,active,???,,,
Газированные,"фанта 0,33л иран ж/б",1200,24 ?? ? ??,gaz-15,gaz-15.jpg,active,???,,,
Газированные,"фанта 0,33л стекло",1100,15 ?? ? ??,gaz-16,gaz-16.jpg,active,???,,,
Газированные,мохито 0.5 ж/б клубника,1350,24 ?? ? ??,gaz-new-1,gaz-new-1.jpg,active,??,Клубника; Манго; Лайм,Манго; Лайм,
Газированные,милкис 0.25 ж/б,1750,30 ?? ? ??,gaz-new-2,gaz-new-2.jpg,active,??,Классический; Банан; Клубника; Черника,Классический; Банан; Клубника; Черника,
Лимонады,"бардзими 0,5л стекло",1400,20 ?? ? ??,lim-1,lim-1.jpg,active,??,Тархун; Груша; Виноград,Тархун; Груша; Виноград,
Лимонады,"зеленокумский груша 0,5л стекло",860,20 ?? ? ??,lim-2,lim-2.jpg,active,???,,,
Лимонады,"Кристал 0,5л стекло",840,12 ?? ? ??,lim-4,lim-4.jpg,active,??,Груша; Тархун; Вишня; Ананас,Груша; Тархун; Вишня; Ананас,
Лимонады,"Аквалания 0,5л стекло",840,12 ?? ? ??,lim-5,lim-5.jpg,active,??,Груша; Тархун; Вишня,Груша; Тархун; Вишня,
Лимонады,"ГенаЦвале 0,5л стекло",680,12 ?? ? ??,lim-6,lim-6.jpg,active,??,АССОРТИ,АССОРТИ,
Лимонады,"Лейла 0,5л стекло",840,12 ?? ? ??,lim-7,lim-7.jpg,active,??,Груша; Тархун; Манго; Апельсин,Груша; Тархун; Манго; Апельсин,
Лимонады,"натахтари 0,5л стекло",1750,20 ?? ? ??,lim-3,lim-3.jpg,active,??,Груша; Тархун; Саперави,Груша; Тархун; Саперави,
Натуральные,"бариноф 0,5л стекло",660,12 ?? ? ??,nat-1,nat-1.jpg,active,??,Гранат; Мультифрукт; Яблоко,Гранат; Мультифрукт; Яблоко,
